language,domain,scenario,left,right,total,p_left,p_value,ci_low,ci_high
Korean,engineering,6,6438,3562,10000,0.6438,0.0,0.6344,0.6531
Korean,environmental science,1,6975,3025,10000,0.6975,0.0,0.6884,0.7064
Korean,environmental science,2,8059,1941,10000,0.8059,0.0,0.798,0.8135
Korean,environmental science,3,9892,108,10000,0.9892,0.0,0.987,0.991
Korean,environmental science,4,6723,3277,10000,0.6723,0.0,0.663,0.6814
Korean,environmental science,5,7277,2723,10000,0.7277,0.0,0.7189,0.7363
Korean,environmental science,6,6802,3198,10000,0.6802,0.0,0.671,0.6893
Korean,finance,1,5197,4803,10000,0.5197,8e-05,0.5099,0.5295
Korean,finance,2,9109,891,10000,0.9109,0.0,0.9052,0.9163
Korean,finance,3,9964,36,10000,0.9964,0.0,0.995,0.9974
Korean,finance,4,8016,1984,10000,0.8016,0.0,0.7937,0.8093
Korean,finance,5,8466,1534,10000,0.8466,0.0,0.8394,0.8535
Korean,finance,6,6491,3509,10000,0.6491,0.0,0.6397,0.6584
Korean,history,1,7489,2511,10000,0.7489,0.0,0.7403,0.7573
Korean,history,2,6756,3244,10000,0.6756,0.0,0.6664,0.6847
Korean,history,3,9836,164,10000,0.9836,0.0,0.9809,0.9859
Korean,history,4,6001,3999,10000,0.6001,0.0,0.5905,0.6097
Korean,history,5,8085,1915,10000,0.8085,0.0,0.8007,0.8161
Korean,history,6,8267,1733,10000,0.8267,0.0,0.8192,0.834
Korean,law,1,7409,2591,10000,0.7409,0.0,0.7322,0.7494
Korean,law,2,6611,3389,10000,0.6611,0.0,0.6518,0.6703
Korean,law,3,9851,149,10000,0.9851,0.0,0.9825,0.9873
Korean,law,4,4881,5119,10000,0.4881,0.01778,0.4783,0.4979
Korean,law,5,7731,2269,10000,0.7731,0.0,0.7648,0.7812
Korean,law,6,8226,1774,10000,0.8226,0.0,0.815,0.83
Korean,mathematics,1,6963,3037,10000,0.6963,0.0,0.6872,0.7052
Korean,mathematics,2,7684,2316,10000,0.7684,0.0,0.76,0.7766
Korean,mathematics,3,9945,55,10000,0.9945,0.0,0.9928,0.9958
Korean,mathematics,4,6968,3032,10000,0.6968,0.0,0.6877,0.7057
Korean,mathematics,5,8385,1615,10000,0.8385,0.0,0.8312,0.8456
Korean,mathematics,6,7818,2182,10000,0.7818,0.0,0.7736,0.7898
Korean,philosophy,1,7155,2845,10000,0.7155,0.0,0.7066,0.7243
Korean,philosophy,2,6776,3224,10000,0.6776,0.0,0.6684,0.6867
Korean,philosophy,3,9854,146,10000,0.9854,0.0,0.9829,0.9876
Korean,philosophy,4,5266,4734,10000,0.5266,0.0,0.5168,0.5364
Korean,philosophy,5,7302,2698,10000,0.7302,0.0,0.7214,0.7388
Korean,philosophy,6,7859,2141,10000,0.7859,0.0,0.7778,0.7938
Korean,sociology,1,7352,2648,10000,0.7352,0.0,0.7265,0.7438
Korean,sociology,2,7067,2933,10000,0.7067,0.0,0.6977,0.7155
Korean,sociology,3,9870,130,10000,0.987,0.0,0.9846,0.989
Korean,sociology,4,5711,4289,10000,0.5711,0.0,0.5614,0.5808
Korean,sociology,5,8491,1509,10000,0.8491,0.0,0.842,0.856
Korean,sociology,6,7823,2177,10000,0.7823,0.0,0.7741,0.7903
